Date,ID
,2
20180610,1
20180912,2
20160615,1
20181120,2
20160419,4
20180728,5
20140814,1
20160308,3
20151006,2
20140909,2
20150827,2
20140212,1
20150101,4
20171124,2
20130114,2
20170209,4
20180812,5
20160318,2
20120616,2
20130226,1
20150828,1
20120715,1
20180924,1
20120108,3
20141026,1
20160427,2
20160524,2
20151117,4
20171024,4
20160514,5
20170925,2
20130428,2
20150331,1
20160128,3
20130218,1
20131107,2
20170830,1
20130724,2
20170716,6
20171226,4
20160508,2
20160116,2
20151010,4
20180324,2
20150411,3
20131115,2
20181215,3
20160106,4
20150901,2
20121220,1
20130524,1
20170613,5
20150525,2
20120221,2
20130623,3
20130712,2
20181225,2
20180809,1
20180124,1
20160523,2
20181224,2
20170619,2
20130411,1
20140817,3
20161029,3
20170430,3
20160101,4
20150918,5
20180106,2
20140307,3
20170713,3
20150614,3
20130603,4
20140826,1
20160702,5
20161107,2
20140225,1
20170327,1
20161230,4
20180508,1
20130304,3
20151102,2
20150531,4
20160103,3
20180401,4
20160601,2
20171103,3
20170320,3
20150619,3
20171213,3
20140120,2
20180506,5
20140819,1
20130827,2
20140815,1
20180703,7
20120207,1
20170417,2
20130605,2
20170912,1
20151203,2
20130522,3
20180426,2
20131203,3
20151024,3
20130813,1
20180929,6
20150417,2
20130426,1
20170529,8
20150925,2
20120511,1
20141001,2
20171225,4
20140414,1
20180918,3
20180903,4
20170520,4
20161225,1
20140714,1
20160914,6
20120519,1
20141014,3
20131020,2
20181220,1
20120831,2
20130716,1
20141228,2
20150228,3
20171201,5
20121107,2
20140614,1
20180126,3
20151004,3
20120127,1
20130207,2
20150904,4
20180927,3
20161110,2
20180514,3
20120120,1
20180121,4
20150402,2
20160821,1
20120314,1
20161111,5
20140129,3
20160221,2
20160815,2
20141128,4
20180902,3
20120818,2
20150716,3
20160610,2
20150409,3
20161221,2
20160405,2
20180607,4
20150805,1
20130216,4
20170810,4
20150112,2
20130131,2
20150221,3
20160122,2
20150922,2
20120601,1
20170330,6
20150323,2
20161117,5
20120429,1
20160531,4
20151208,2
20130612,2
20180213,3
20180727,3
20130804,2
20150819,2
20141109,1
20150510,1
20180616,3
20141125,2
20120111,1
20120412,2
20181014,3
20141205,1
20130819,2
20130915,1
20140226,2
20170929,3
20160322,3
20150526,4
20181214,1
20170402,5
20170125,2
20171014,2
20180907,4
20180611,4
20180615,6
20140613,2
20141015,2
20170712,2
20150606,3
20120717,2
20131018,3
20120627,1
20130202,2
20130825,3
20140807,1
20160113,2
20180504,6
20140202,1
20160409,6
20140205,2
20150926,4
20171111,2
20150405,1
20181222,1
20130708,2
20160613,3
20130302,6
20120629,4
20170404,2
20150930,4
20181015,4
20180319,3
20120823,1
20151001,4
20151118,3
20121206,1
20170530,1
20130802,2
20120726,1
20150807,1
20170130,3
20130327,3
20131114,2
20151114,4
20160905,4
20160714,2
20141208,2
20160704,2
20140126,2
20151229,1
20131219,3
20130108,1
20130904,1
20160904,3
20170522,6
20151014,3
20120626,1
20130416,1
20180103,2
20180211,2
20180402,4
20181005,3
20170901,1
20120827,2
20170407,2
20120829,1
20130630,1
20180908,5
20131110,3
20161113,8
20170415,2
20150912,3
20131105,2
20131010,4
20150428,1
20180623,6
20140813,1
20130611,4
20150512,3
20121004,2
20140708,1
20170618,9
20181011,1
20171223,6
20121030,1
20160219,2
20161005,1
20181019,2
20140221,3
20180318,3
20150412,4
20120822,2
20181102,6
20180510,1
20140726,1
20140612,3
20130628,2
20161122,4
20170730,1
20180721,2
20150711,4
20130706,1
20130922,1
20170118,2
20170711,4
20130430,1
20131109,6
20160205,3
20170113,3
20140529,1
20130330,2
20151227,2
20160818,4
20161018,2
20130919,1
20130103,2
20170825,3
20171005,5
20181109,2
20170424,3
20140902,3
20180215,5
20160501,3
20131015,1
20140423,2
20130818,4
20150620,1
20170401,1
20120101,1
20131121,2
20150401,2
20151210,1
20180307,2
20140315,1
20180219,3
20120126,2
20141124,1
20150407,2
20120422,1
20181008,4
20180731,2
20121117,1
20150419,3
20160715,4
20160806,2
20181003,2
20171206,4
20181105,5
20150917,1
20160902,1
20130326,1
20170601,4
20151214,1
20141002,3
20130402,3
20151211,3
20160422,4
20170221,1
20140808,1
20130609,1
20170818,9
20180518,1
20140801,3
20151026,3
20160114,1
20131221,6
20171218,6
20140113,1
20151108,1
20180716,4
20170218,1
20170131,3
20151225,2
20141021,1
20120316,1
20140522,2
20160629,2
20150816,1
20120304,1
20130401,2
20180221,3
20140530,1
20140201,3
20170725,2
20150205,2
20151205,3
20180227,5
20140929,3
20120808,2
20141106,1
20141117,3
20150629,2
20181029,2
20140615,1
20130427,2
20160315,1
20140727,1
20141018,3
20120112,2
20170309,5
20160313,3
20170110,4
20181001,1
20151113,4
20121207,2
20120716,1
20170614,2
20140217,3
20170715,4
20181009,2
20150826,2
20160228,1
20160617,3
20170702,6
20180831,4
20150905,2
20160619,5
20120130,2
20161123,3
20171006,4
20150616,3
20151011,1
20170923,4
20150310,2
20180312,4
20121120,2
20140719,1
20140213,2
20180724,1
20181117,2
20180425,1
20120707,3
20161008,2
20170902,2
20131129,1
20140528,2
20170210,3
20151224,1
20150423,1
20181007,6
20150814,3
20120828,1
20120928,1
20151104,5
20180304,4
20141223,1
20120925,2
20150504,2
20181227,1
20160321,3
20120701,1
20150307,1
20180613,2
20160919,2
20180606,4
20120904,1
20170817,2
20170911,2
20160130,5
20121009,1
20121024,2
20161215,6
20170727,2
20140629,2
20170301,1
20170422,3
20130104,1
20130625,4
20161101,3
20161024,1
20141115,2
20150609,5
